Video	Average Accuracy	F1 Score
0291-L	0.5759803921568627	0.6053987863717203
0292-M	0.5289504421825463	0.5431170459396151
0293-R	0.5364921666029805	0.5506221539421099
0294-L	0.541855800696717	0.5464829854148093
0295-M	0.5609860481040828	0.5574058734680296
0296-R	0.555205047318612	0.5521315879076537
0297-L	0.5594070827085016	0.5560782372160794
0298-M	0.5602637497444285	0.5543494867406406
0299-R	0.562098980353146	0.555086941552063
0300-L	0.5663669760247486	0.5597937517620482
0301-M	0.5632010353753235	0.5557789874849649
0302-R	0.5669041007686426	0.5614705260788913
Total	0.5669041007686426	0.5614705260788913
