Video	Average Accuracy	F1 Score
0291-L	0.5745798319327731	0.6050439287096782
0292-M	0.5394627064909061	0.5562657067681487
0293-R	0.5446439943956184	0.5609552648498671
0294-L	0.5503008550617544	0.555633627904012
0295-M	0.5646666096036976	0.5614064810507523
0296-R	0.559621451104101	0.5563900420115092
0297-L	0.5618871842196331	0.55873854008793
0298-M	0.5661930075649152	0.5604816761299098
0299-R	0.5676697338970406	0.5611923350602148
0300-L	0.5720224284609435	0.5659338255019257
0301-M	0.5687661777394305	0.5614169370139818
0302-R	0.5709284075817941	0.5651232904608932
Total	0.5709284075817941	0.5651232904608932
