Video	Average Accuracy	F1 Score
0291-L	0.603641456582633	0.6423478018360939
0292-M	0.5493075254463541	0.5666527930735863
0293-R	0.5525410775697364	0.5629768857300174
0294-L	0.581864245751082	0.5860142305683324
0295-M	0.6018146024137636	0.6046339061832521
0296-R	0.5828951980371538	0.5842164075486138
0297-L	0.5785557734456108	0.5775555049367666
0298-M	0.5893477816397464	0.5877240648161105
0299-R	0.5872668490425267	0.5855622966678863
0300-L	0.5891337973704563	0.5888633987049892
0301-M	0.5874029335634168	0.5895484523766177
0302-R	0.5898426496036058	0.5912532436377403
Total	0.5898426496036058	0.5912532436377403
