Video	Average Accuracy	F1 Score	Detection Precision	Detection Recall
0291-L	0.5476025017373176	0.6066663995246758	0.7939873417721519	0.8717859624739402
0292-M	0.5103562551781275	0.549254495308351	0.7217964232889607	0.8894780447390224
0293-R	0.5090311986863711	0.5439702574624004	0.732972860559426	0.8903625110521662
0294-L	0.53398870529178	0.565692517392591	0.7407019381875327	0.8872620790629575
0295-M	0.558853459972863	0.5876615764269101	0.7302472962733347	0.8989993215739485
0296-R	0.5455997777314718	0.5692790991275367	0.7307735176103433	0.910814753073557
0297-L	0.5464418405258645	0.5662181374268866	0.7497892666479348	0.9151757645041441
0298-M	0.558419853127374	0.5787145995263197	0.760710377914317	0.9154722714611294
0299-R	0.5564206169311127	0.576407197620044	0.7527138690861958	0.9156893663151671
0300-L	0.557406875418941	0.5788060009911048	0.7508446609570205	0.9150627214401992
0301-M	0.55369428656895	0.578723282148389	0.7515703295927729	0.9101320456390752
0302-R	0.5547939746552961	0.5797715562778178	0.7563451776649747	0.9084641747031162
Total	0.5547939746552961	0.5797715562778178	0.7563451776649747	0.9084641747031162
