Video	Average Accuracy	F1 Score
0291-L	0.5511204481792717	0.5839749088257552
0292-M	0.4817286834640414	0.49358108850002086
0293-R	0.48554324289899375	0.4993452293783437
0294-L	0.5004750343080333	0.5061399518990457
0295-M	0.5120260207138577	0.5079069138824258
0296-R	0.5026288117770767	0.49710077226723914
0297-L	0.5053639404775637	0.5012638374672105
0298-M	0.5065937436107135	0.500595162002217
0299-R	0.5077343944292465	0.5003942738592009
0300-L	0.5112625676720804	0.5034607229663876
0301-M	0.5094477998274375	0.5006068314385885
0302-R	0.5115698820878104	0.5036312258174087
Total	0.5115698820878104	0.5036312258174087
