Video	Average Accuracy	F1 Score
0291-L	0.615546218487395	0.6455970608240108
0292-M	0.559652928416486	0.5812007026625894
0293-R	0.5605655330531143	0.581216655710372
0294-L	0.5743692600021113	0.5834385135387459
0295-M	0.5855516562526748	0.5865246359759421
0296-R	0.5791097090781633	0.5804261803338792
0297-L	0.5794209251355404	0.5812808800240217
0298-M	0.5854119811899408	0.5846773579223629
0299-R	0.5854265108182044	0.584399645195893
0300-L	0.5898588553750966	0.5894889216312992
0301-M	0.5847713546160483	0.5828886548447396
0302-R	0.5869049056300052	0.5858505624470774
Total	0.5869049056300052	0.5858505624470774
