Video	Average Accuracy	F1 Score
0291-L	0.603641456582633	0.6423478018360939
0291-M	0.6176988036593948	0.663236525687401
0291-R	0.6130684657671165	0.657945068768936
0292-L	0.5874528132302714	0.6115031771652539
0292-M	0.5681834116244829	0.5896681417915763
0292-R	0.5567418426103646	0.5758830778072979
0293-L	0.5609768907563025	0.5744273591362877
0293-M	0.5588056632867623	0.5716783567772931
0293-R	0.5591383980394686	0.5718019901889674
0294-L	0.5698725935452755	0.5783618114523241
0294-M	0.5773355486745714	0.5840952173427718
0294-R	0.5773926742812131	0.5838070394625043
0295-L	0.5785396023142915	0.5838321542709296
0295-M	0.5859868665592863	0.591409345503434
0295-R	0.5902120048089611	0.5953020186555271
0296-L	0.5892713527424803	0.5929072370899576
0296-M	0.5849359369985435	0.5884328404251657
0296-R	0.5796839100466477	0.582430063974515
0297-L	0.5782678393483818	0.5800977639682252
0297-M	0.5816935123950177	0.5833910802971995
0297-R	0.582417157762535	0.5842333815186421
0298-L	0.5862805161050775	0.5880927512147555
0298-M	0.5897381041521813	0.5913429701396178
0298-R	0.5900758478895627	0.5916951439462125
0299-L	0.5909246341129805	0.5928877889956781
0299-M	0.5916955602536997	0.5940262340662388
0299-R	0.5909730834981396	0.593414715634299
0300-L	0.5915782834569868	0.5943805882860538
0300-M	0.5924750978007166	0.5954442117275628
0300-R	0.5922228746656227	0.5954590321768463
0301-L	0.5912477452748804	0.5948269324267285
0301-M	0.5905625915135779	0.5945807243566786
0301-R	0.5898479833631118	0.5939551343719404
0302-L	0.5889876929643594	0.5928328465709284
0302-M	0.5877862595419847	0.5913881874526709
0302-R	0.5885956390328152	0.5919729694129077
0303-L	0.5872087711283691	0.5906473069835017
0303-M	0.5854710584901842	0.5891663515984712
0303-R	0.58385598284806	0.5876941718096469
0304-L	0.5851808213907858	0.5889941943782492
0304-M	0.5857323705926482	0.5898467750553886
0304-R	0.5849739266270014	0.5893127105476982
0305-L	0.5824339660428581	0.5869836217042453
0305-M	0.5807207323919333	0.5855062317470011
0305-R	0.5807599949446013	0.585528441758941
0306-L	0.5813168086754454	0.586218056899717
0306-M	0.581050008609949	0.5861614300739484
0306-R	0.5794602250059842	0.5848311244871293
0307-L	0.5774560234930328	0.5829610100483898
0307-M	0.5776507069500156	0.5832351865157761
0307-R	0.5766443027858829	0.5825318692250626
0308-L	0.5771664575682928	0.5830014954970211
0308-M	0.577027502412888	0.5829984506109601
0308-R	0.5766266818537766	0.5825353327446775
0309-L	0.5757165605095541	0.5814974195123023
0309-M	0.5761015801552896	0.5819679151543361
0309-R	0.5759824945295405	0.5819663236973197
0310-L	0.5760734219760891	0.5819960314676601
0310-M	0.5769210781596452	0.5828831299166701
0310-R	0.577002035676086	0.5830585214946093
0311-L	0.5771868403875661	0.5830941787879859
0311-M	0.5787956544921354	0.5845889481004078
0311-R	0.5792356907611061	0.585088685490362
0312-L	0.5801753772887224	0.5862411723153096
0312-M	0.5806697841842228	0.5869088919283718
0312-R	0.5809513957411593	0.5872870228522438
0313-L	0.5812524431240716	0.587425079811842
0313-M	0.5835703633092972	0.5896319777270839
0313-R	0.5858352345508705	0.5917602445164623
0314-L	0.5851525114018468	0.5910597803786093
0314-M	0.5858122214489835	0.5916587349714251
0314-R	0.5855171048870058	0.5913404410550149
0315-L	0.5824767673593005	0.5882283226188297
0315-M	0.5826558265582655	0.5887376385681812
0315-R	0.5811262342479953	0.5872552902014518
0316-L	0.5819420623861078	0.5879263728222381
0316-M	0.5831264855184582	0.5889562665899759
0316-R	0.5830030937664173	0.588542961869588
0317-L	0.5831500247943342	0.5887810346088557
0317-M	0.5849653660238202	0.5907246581090415
0317-R	0.5853319621454194	0.5911242615634938
0318-L	0.5855619478612522	0.5912003047708957
0318-M	0.5862550519844018	0.5917676329163686
0318-R	0.586740853498504	0.5922104401566727
0319-L	0.5871007470923815	0.592504783857203
0319-M	0.587635963897246	0.5930093370067862
0319-R	0.5878214333085356	0.5931711238482665
0320-L	0.5886386233928951	0.5939961586687189
0320-M	0.5895883569215261	0.5949694070356429
0320-R	0.590133975991685	0.5954880493606892
0321-L	0.5892064987577884	0.5944322317035461
