Video	Average Accuracy	F1 Score
0291-L	0.5511204481792717	0.5839749088257552
0291-M	0.5182969739619986	0.5300427668649264
0291-R	0.511744127936032	0.5226912855064242
0292-L	0.4806758943016358	0.4770529227775432
0292-M	0.46701254995442754	0.4726776870654104
0292-R	0.46485124760076774	0.47568690485635123
0293-L	0.4617121848739496	0.4707034619781366
0293-M	0.4586234288117378	0.46958703393742457
0293-R	0.46175673932671224	0.4740679752305365
0294-L	0.4689924038422893	0.4770388565788636
0294-M	0.4754550260554339	0.48119214154628376
0294-R	0.4735221454402234	0.4788902475088496
0295-L	0.4734322005719226	0.47523405789189477
0295-M	0.47946351133688514	0.4787039061749937
0295-R	0.4829487141893675	0.4818918291560819
0296-L	0.48699801619216126	0.4862414074861965
0296-M	0.49127311328906115	0.4893912308159832
0296-R	0.48940564877346887	0.48685369780507987
0297-L	0.4913132013344309	0.4893233647490645
0297-M	0.4996551304418388	0.4977404445089951
0297-R	0.5048980774804367	0.502489973890336
0298-L	0.5105912930474334	0.5074417616278343
0298-M	0.510812786365014	0.5070380533714643
0298-R	0.5124311062734325	0.5089745774088841
0299-L	0.5142422377239776	0.5103400436163884
0299-M	0.5162790697674419	0.5125052194624184
0299-R	0.5165756041966949	0.512644370549717
0300-L	0.5177015386147488	0.5134921334052871
0300-M	0.5195930175219435	0.5154982294422953
0300-R	0.5209271220721602	0.5167192883452262
0301-L	0.5194259273782449	0.5153000049345591
0301-M	0.5184838558727187	0.5133597520736043
0301-R	0.5180867578571219	0.512641470961822
0302-L	0.5142775841217898	0.5088564058310933
0302-M	0.512968816862913	0.5070223927631177
0302-R	0.5136010362694301	0.5080303775976724
0303-L	0.5100959342165372	0.5046605386209072
0303-M	0.5094869459623558	0.5043023051524211
0303-R	0.510344147762978	0.5053853622917472
0304-L	0.5068769837453111	0.5024809337412047
0304-M	0.5051809827456865	0.5003510777674073
0304-R	0.5042843031402908	0.49961737675859924
0305-L	0.4997997285208839	0.4955266221782439
0305-M	0.4992874724705273	0.4952276508610348
0305-R	0.4975038968698656	0.4938042222979534
0306-L	0.4972579395817196	0.4930738217917305
0306-M	0.49711819940642	0.4927986148410158
0306-R	0.496559084018192	0.4919939682352803
0307-L	0.49390795320841313	0.4897042013068972
0307-M	0.4952348439589201	0.49182268715140204
0307-R	0.49532588696637986	0.4919892745275636
0308-L	0.49503200578759876	0.491780875120398
0308-M	0.49481792843419353	0.49161710519018986
0308-R	0.49357514059941626	0.49042669939846206
0309-L	0.49436482661004955	0.49097158795159296
0309-M	0.4960913799319399	0.4926927952747371
0309-R	0.4969890590809628	0.4935711936426949
0310-L	0.4974791672108879	0.4938385813989165
0310-M	0.4990992239467849	0.4955398727986631
0310-R	0.4998533623158403	0.49626844201759734
0311-L	0.501504658082345	0.4977619088242866
0311-M	0.5044154892028793	0.5005231461935927
0311-R	0.5055397225621525	0.5016821595736363
0312-L	0.5059854204422628	0.5024622676993254
0312-M	0.5067090906169149	0.5033557558440338
0312-R	0.5071617277270267	0.5040919200405812
0313-L	0.5063169415995622	0.5032016958537292
0313-M	0.5078104580187881	0.5049196659333307
0313-R	0.5084474695489377	0.5059117743572231
0314-L	0.5096120002096891	0.5067932011683565
0314-M	0.5111864607548455	0.5081431008176625
0314-R	0.5123916055210631	0.509095044305567
0315-L	0.5095180611013093	0.5062395024967467
0315-M	0.5103071596268662	0.5077564548985655
0315-R	0.5086465550160929	0.5063809138399925
0316-L	0.5090376782077393	0.5065796593757285
0316-M	0.5107813250989248	0.5087247900710241
0316-R	0.5097515258040874	0.5075162564454908
0317-L	0.5088878151741325	0.5070404059783262
0317-M	0.5075310210793841	0.5061089542156723
0317-R	0.5055398440273748	0.5042574277220655
0318-L	0.505879450208218	0.5044116418410828
0318-M	0.5075358150929329	0.5060847418095538
0318-R	0.5088155185787856	0.5071906744887851
0319-L	0.5094403197508918	0.5076253110920124
0319-M	0.5106919694515158	0.5087937270464179
0319-R	0.5113060327675992	0.5093231590731154
0320-L	0.51212979832522	0.5101246808947658
0320-M	0.5130446237821676	0.5110319271626399
0320-R	0.5137459595901911	0.5117132830594776
0321-L	0.5129240484322336	0.5107886595098565
0321-M	0.5108597434654207	0.5081543160035805
0321-R	0.5107145183351788	0.5076683570459671
0322-L	0.5123908969210174	0.5095439275370931
0322-M	0.5137010535209781	0.5114340462887746
0322-R	0.5143045085304989	0.5119822971778776
0323-L	0.5138912456613961	0.5118267044790741
0323-M	0.5133296869144206	0.5114336204584798
0323-R	0.5136878823012033	0.5118503093080313
0324-L	0.514048288366624	0.5119638130551196
0324-M	0.5153665225496032	0.5129941254343505
0324-R	0.5174079836114681	0.5148388825242747
0325-L	0.5171124779478377	0.5144663950859759
0325-M	0.5176458410768644	0.5151864335389703
0325-R	0.5185474569334375	0.5162292977137327
0326-L	0.5184130880100393	0.5160606188806749
0326-M	0.5190453958750996	0.5168042888147651
0326-R	0.5193081529374856	0.5171046751814488
0327-L	0.5189066838266067	0.516737060570626
0327-M	0.5193300059216648	0.5172985739400833
0327-R	0.5199609914525388	0.5181781587787555
0328-L	0.5199360784571266	0.5179751144544009
0328-M	0.5203829430493838	0.5181575109622557
0328-R	0.5210321089045705	0.5187751664181499
0329-L	0.5209996558843771	0.518705924544919
0329-M	0.5211574508971274	0.5188780063124255
0329-R	0.5214257588467925	0.5190756223104273
0330-L	0.5214616748179314	0.5190625881058575
0330-M	0.5217932486753541	0.5194392810346009
0330-R	0.5221267559482013	0.5197629752395577
0331-L	0.5211252189141856	0.5186612318713152
0331-M	0.5201777844426116	0.5173427193634585
0331-R	0.519858723727317	0.5169799426898368
0332-L	0.5184100401294287	0.5153873409766274
0332-M	0.5178904671883285	0.5150409523980403
0332-R	0.5169915875278576	0.5140711442119601
0333-L	0.5143034109813669	0.5113042392291708
0333-M	0.5127194877636799	0.5096464793000377
0333-R	0.5104778653635154	0.5073592957414231
0334-L	0.510341580872706	0.5071043684748335
0334-M	0.5093179818689515	0.5058527901746319
0334-R	0.5092911819203548	0.5057660248388512
Total	0.5092911819203548	0.5057660248388512
