Video	Average Accuracy	F1 Score
0291-L	0.6141456582633054	0.6443861484307893
0291-M	0.5816326530612245	0.6064959921956534
0291-R	0.5833333333333334	0.607725869414196
0292-L	0.5553658098148481	0.561887713946233
0292-M	0.5451167356096193	0.5608932986529729
0292-R	0.5393474088291746	0.5578128493690294
0293-L	0.5421218487394958	0.5574856008872481
0293-M	0.5413765711882622	0.5575893801092074
0293-R	0.5431445891912808	0.5606286176363781
0294-L	0.5495357903621237	0.5614462516251776
0294-M	0.556000302091987	0.5644316796063793
0294-R	0.5531526370439328	0.5621541549770346
0295-L	0.5540333843186805	0.5616856916438225
0295-M	0.5594721843637716	0.5651859593532637
0295-R	0.5614168841450898	0.5659390912463618
0296-L	0.5642056726180902	0.5691013290902365
0296-M	0.5668649862986644	0.5706344888492736
0296-R	0.5658520736150757	0.5692816840710037
0297-L	0.5668515228976214	0.5706575275676727
0297-M	0.5746946890088043	0.5782219951029209
0297-R	0.5790358419476379	0.5820907493523048
0298-L	0.5834957764782326	0.5856286261693072
0298-M	0.5854236865094222	0.5868127155029103
0298-R	0.58563555002678	0.5870742003422132
0299-L	0.5879325673642457	0.5893353349153814
0299-M	0.5899196617336152	0.5913958155304592
0299-R	0.5898836858512385	0.5914986149706449
0300-L	0.5913625122408671	0.5930033389918259
0300-M	0.5932147670863605	0.5947873832470492
0300-R	0.5940334051021073	0.5954563099091233
0301-L	0.5913889106736726	0.5926639923435131
0301-M	0.5895512249611303	0.5898587753738895
0301-R	0.5884859845933043	0.5880952801834352
0302-L	0.5853311517393469	0.5849605263675359
0302-M	0.5842248388388112	0.5835372066180253
0302-R	0.5849525043177893	0.5846223958621473
0303-L	0.5809567317105006	0.5809314343051333
0303-M	0.579627099777373	0.5798084186881879
0303-R	0.5806030286974629	0.5807287116064801
0304-L	0.5774141579301721	0.578125001273129
0304-M	0.5762846961740435	0.5766730130237134
0304-R	0.5750269922583906	0.5755210468719433
0305-L	0.5705511916153008	0.5716169828015232
0305-M	0.5699680442198903	0.571064244743469
0305-R	0.5688903399755656	0.5701333533177292
0306-L	0.5681383940098115	0.5688912981328753
0306-M	0.5678615925366935	0.5684066490826645
0306-R	0.5665941913348759	0.5668174034879534
0307-L	0.5638619589844319	0.564319448420558
0307-M	0.5648487951978607	0.5656397332387957
0307-R	0.563950787072314	0.5649703635186573
0308-L	0.5642725665985953	0.5652365681537087
0308-M	0.5648863913117993	0.5660587450965836
0308-R	0.5640884174556845	0.5653040361117156
0309-L	0.5642515923566879	0.5652904873196241
0309-M	0.5655760048538994	0.5666049996968119
0309-R	0.5652778993435449	0.5663323459683016
0310-L	0.5661032888378047	0.5670671368134297
0310-M	0.5670818320399114	0.5681114214714119
0310-R	0.5676258496359935	0.5686066197620856
0311-L	0.5681419379996101	0.5688693640274247
0311-M	0.570972740602506	0.5714145973303206
0311-R	0.571975327907225	0.5723560421858178
0312-L	0.5730237547643622	0.573782239313698
0312-M	0.5742579826126083	0.5752279959443685
0312-R	0.5741477544004838	0.5753891974671982
0313-L	0.5732702681572981	0.5743745327328357
0313-M	0.5754293445672729	0.5766705150535315
0313-R	0.5771035298219551	0.5786425203545895
0314-L	0.5785398147246706	0.5797483846614327
0314-M	0.5796082147563558	0.5806609586342695
0314-R	0.5798362446215081	0.5807002707394777
0315-L	0.5758623399072837	0.5766904341091876
0315-M	0.5759608752899869	0.5774434539753803
